data,feriado,itens_vendidos,soma_de_vendas
2017-09-28,,165.0,26349.099983215332
2017-09-29,,135.0,33703.999938964844
2017-09-30,,120.0,14879.169976234436
2017-10-01,,145.0,21909.429969787598
2017-10-02,,166.0,25178.300045013428
2017-10-03,,218.0,30389.119897842407
2017-10-04,,171.0,24787.580097198486
2017-10-05,,171.0,29129.829921722412
2017-10-06,,154.0,19998.46997833252
2017-10-07,,117.0,17748.49011039734
2017-10-08,,137.0,19424.09002685547
2017-10-09,,223.0,34989.53002166748
2017-10-10,,206.0,31965.459995269775
2017-10-11,,178.0,25916.389850616455
2017-10-12,Nossa Senhora Aparecida,158.0,22201.27992630005
2017-10-13,,165.0,26406.69994544983
2017-10-14,,128.0,16185.459968566895
2017-10-15,,137.0,21299.14988708496
2017-10-16,,226.0,35110.66003990173
2017-10-17,,259.0,34756.27002906799
2017-10-18,,223.0,31501.879985809326
2017-10-19,,195.0,26909.609788894653
2017-10-20,,131.0,21563.080043792725
2017-10-21,,124.0,17558.02991294861
2017-10-22,,182.0,23234.369913101196
2017-10-23,,189.0,25841.400016784668
2017-10-24,,193.0,25739.270153045654
2017-10-25,,171.0,20731.590097427368
2017-10-26,,179.0,26317.7598361969
2017-10-27,,156.0,23158.059980392456
2017-10-28,Dia do Servidor Público,97.0,18922.480171203613
2017-10-29,,160.0,20290.449971199036
2017-10-30,,169.0,23330.839944839478
2017-10-31,,194.0,26846.590049743652
2017-11-01,,127.0,22066.959810256958
2017-11-02,Finados,145.0,24082.929985046387
2017-11-03,,169.0,26036.079973220825
2017-11-04,,135.0,22294.81012916565
2017-11-05,,162.0,20901.940059661865
2017-11-06,,209.0,33149.61008834839
2017-11-07,,177.0,24613.639907836914
2017-11-08,,199.0,23262.88002204895
2017-11-09,,223.0,28901.659994125366
2017-11-10,,193.0,23603.569995880127
2017-11-11,,175.0,26670.9501247406
2017-11-12,,186.0,26529.310075759888
2017-11-13,,235.0,29395.250030517578
2017-11-14,,222.0,31367.220007896423
2017-11-15,Proclamação da República,216.0,27546.269926071167
2017-11-16,,257.0,32918.07987976074
2017-11-17,,225.0,34192.169984817505
2017-11-18,,171.0,27205.379905700684
2017-11-19,,176.0,23312.599996566772
2017-11-20,,262.0,50074.60991859436
2017-11-21,,258.0,39279.19992828369
2017-11-22,,239.0,29951.149967193604
2017-11-23,,336.0,51499.47999000549
2017-11-24,,1366.0,178450.10985088348
2017-11-25,,580.0,71859.17014694214
2017-11-26,,456.0,53597.04997444153
2017-11-27,,474.0,56644.82993888855
2017-11-28,,431.0,56248.4798412323
2017-11-29,,366.0,47031.579988479614
2017-11-30,,295.0,36620.66013908386
2017-12-01,,312.0,45973.82001686096
2017-12-02,,235.0,35723.77992630005
2017-12-03,,261.0,34212.6900844574
2017-12-04,,369.0,54270.31006813049
2017-12-05,,323.0,39560.41996765137
2017-12-06,,314.0,45490.240060806274
2017-12-07,,257.0,32920.8699760437
2017-12-08,,237.0,34362.21982765198
2017-12-09,,170.0,23639.519918441772
2017-12-10,,205.0,28627.5800075531
2017-12-11,,296.0,39415.42988395691
2017-12-12,,295.0,38557.37990951538
2017-12-13,,262.0,34385.07996177673
2017-12-14,,215.0,29580.87003326416
2017-12-15,,208.0,31451.63010406494
2017-12-16,,144.0,22907.049936294556
2017-12-17,,151.0,22105.99999809265
2017-12-18,,233.0,33813.89999771118
2017-12-19,,201.0,24134.510082244873
2017-12-20,,196.0,32004.679975509644
2017-12-21,,156.0,21546.439853668213
2017-12-22,,127.0,17233.500064849854
2017-12-23,,119.0,15357.060014724731
2017-12-24,Véspera de Natal,62.0,6960.790019989014
2017-12-25,Natal,101.0,12662.229933738708
2017-12-26,,181.0,23797.460021972656
2017-12-27,,184.0,21027.510091781616
2017-12-28,,157.0,17793.849967956543
2017-12-29,,151.0,18765.650100708008
2017-12-30,,108.0,15201.600095748901
2017-12-31,Véspera de Ano-Novo,78.0,10190.930027008057
2018-01-01,Confraternização Universal,81.0,8453.609987258911
2018-01-02,,233.0,29410.509843826294
2018-01-03,,247.0,36746.07995033264
2018-01-04,,278.0,39936.94005584717
2018-01-05,,244.0,32287.900066375732
2018-01-06,,258.0,32581.279851913452
2018-01-07,,220.0,33918.11998748779
2018-01-08,,334.0,45176.21998786926
2018-01-09,,272.0,35406.890045166016
